Study;Estimated r in exp;Estimated r in ctrl
Acar et al. 2015;-0.003917454;0.000237072
Antonelli et al. 2022;-0.000297929;-0.001555225
Audige et al. 2022;-0.001585077;0.002181509
Banapour et al. 2018;0.004514672;0.003203671
Boylu et al. 2015;0.005135035;0.001055185
Bravi et al. 2019;-0.000626096;0.000222726
Bravi et al. 2023;-0.000571745;0.000948356
Chang et al. 2018;0.001914186;0.004219963
Esen et al. 2013;0.00198158;-0.002906833
Ficarra et al. 2014;0.001926101;-7.61905E-05
Gandi et al. 2022;-0.00127037;-0.004073131
Ghali et al. 2019;-0.001058185;-0.002234705
Ghavimi et al. 2021;-0.004086078;0.000121546
Hoeh et al. 2023;0.000340496;0.001518707
Ingels et al. 2022;-0.000173638;-0.000399205
Kara et al. 2016;-0.002868906;0.00078127
Klaassen et al. 2014;-0.006177586;0.010274641
Kowalewski et al. 2021;-0.006828908;-0.002996596
Kowalewski et al. 2023;-0.001072348;0.011893961
Kumar et al. 2024;-5.63826E-05;-0.000600933
Lee et al. 2011;-0.003388843;-0.001199138
Lee et al. 2021;-0.004634974;0.000117548
Lucas et al. 2012;0.001121515;0.005742884
Luciani et al. 2017;0.001115597;0.001673696
Malkoc et al. 2017;-0.003775043;-0.00065799
Masoumi-Ravandi et al. 2024;-0.003004596;-0.002031504
Masson-Lecomte et al. 2013;0.00032318;0.00588799
Mearini et al. 2016;0.003977513;2.60455E-05
Minervini et al. 2013;0.005500162;0.001047542
Motoyama et al. 2019;0.002969691;-0.00461823
Oh et al. 2014;-0.000694412;-0.001616879
Porpiglia et al. 2016;-0.005489558;-0.002260555
Saoud et al. 2017;-0.008247118;0.004182221
Sawada et al. 2021;0.000851659;-0.001131705
Soisrithong et al. 2021;0.008136822;-0.009146755
Tachibana et al. 2020;-0.00100548;0.00149828
Takagi et al. 2016;-0.001278441;0.000832384
Takahara et al. 2022;-0.001641201;-0.001179508
Tan et al. 2018;0.002281795;0.003638784
Vittori et al. 2014;-0.001669755;0.005040593
Wu et al. 2014;0.003002073;-0.000404622
Yu et al. 2019;0.002797483;-0.002032656
Zeuschner et al. 2021;9.55837E-05;0.001587892
